Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
3027,UEI-IMD-FL-2001-0098,2001-07-06,2001-07-06,1.0,heavy rains,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",Uttarakhand,,,,,10.0,,,,10 tourists died due to landslide in Gomukh,(i) Landslides reported (ii)Many people stranded on the way; helped by India-Tibet border police,IMD,,"None, 47, 49, 55, 54, 53, 46, 50, 52, 45, 51, 48, 56",5
3028,UEI-IMD-FL-2001-0099,2001-07-16,2001-07-16,1.0,heavy rains,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",Uttarakhand,,,,,25.0,,,25,"(i)More than 25 pesons died,many other injured/missing due to landslides in Gupt Kashi,Gauri Kund area (ii) 25 cattle lost",(i) Landslides reported (ii) 26 houses damaged,IMD,,"None, 47, 49, 55, 54, 53, 46, 50, 52, 45, 51, 48, 56",5
3282,UEI-IMD-FL-2004-0064,2004-07-06,2004-07-06,1.0,heavy rains(cloud burst),,Chamoli,Uttarakhand,,,,,31.0,28.0,,,"31 pilgrims died,28 others injured when 3 vehicles carrying them swamped into the Alakhanda river due to massive landslide triggered by a cloud burst","(i)Landslide reported (ii)3 vehicles washed away (iii)More than 5000 pilgrims stranded as severe damage to road reported near Lambagar (iv) Bad weather hampered rescue,relief work",IMD,,47,5
3439,UEI-IMD-FL-2005-0146,2005-06-30,2005-06-30,1.0,heavy rains,,Chamoli,Uttarakhand,,,,,9.0,,,,9 persons died due to landslide.,,IMD,,47,5
4270,UEI-IMD-FL-2012-0077,2012-08-04,2012-08-04,1.0,heavy rains (cloud burst) ,,Chamoli,Uttarakhand,,,,,7.0,20.0,,,"i) One child washed away. ii) 2 children died in a house collapse. iii) 3 jawans of the fire brigade,2 others died in Gangitri. iv) 19 labours missing from Assi Ganga Hydel project. ",i) Landslides reported.ii) About 30 houses washed away. iii) Gangotri bridge collapsed. iv) Pilgrims of Badrinath-Kedarnath stranded.  v) About 250 falilies shifted to safer places. ,IMD,,47,5
4404,UEI-IMD-FL-2013-0131,2013-06-14,2013-06-18,5.0,"heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places. ",,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi",Uttarakhand,,,,,5000.0,,,1000,"i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished. ","i) More than thousands of pilgrims of Char Dham on the Gangotri,Yamunotri routes, Hemkund, Roopkunda,tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial,residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.    ",IMD,,"47, 53, 54, None",5
4728,UEI-IMD-FL-2016-0126,2016-05-08,2016-05-08,1.0,landslide,,Chamoli,Uttarakhand,,,,,,,,,,i) Damage to more than 10 houses reported ii) Damage to more than half dozen vehicles reported.,IMD,,47,5
4731,UEI-IMD-FL-2016-0129,2016-07-03,2016-07-03,1.0,cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,20.0,12.0,,,20 persons died & 12 others missing.,i) 150 families affected ii) 4 houses fully & 12 houses partially damaged.,IMD,,"47, 53",5
4857,UEI-IMD-FL-2017-0120,2017-05-20,2017-05-20,1.0,Landslide,,Chamoli,Uttarakhand,,,,,13.0,,,,13 Char Dham Pilgrims died.,Thousands of Pilgrims stranded,IMD,,47,5
5126,UEI-IMD-FL-2019-0147,2019-02-06,2019-02-06,1.0,Flash floods,,"Almora, Chamoli",Uttarakhand,,,,,1.0,,1,,One shepherd died due to flash floods in local Gangani stream from Lam Bagar areas in Mahelchouri of Chamoli Dist. While one person missing from Khira village in Chaukhatiya block of Almora Dist. Some cattle heads washed away from Almora Dist.,"i) Damage to agricultural land reported. ii) Damage to several houses, cowsheds reported. iii) Damage to main roads,local bridges reported. iv) Large-scale destruction in Gangnahar, Lambagad, Ramgaderi, Bisht Bhankhli,Negi Bankhali villages reported. v) The Mahelchouri-Chaukhatiya highway blocked due to the debris.",IMD,,"45, 47",5
