Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
32312,UK/CHA/53O05/2017/61,Uttarakhand,Chamoli,,Forest,29.941886,79.332523,Rock cum debris,Slide,2012
32320,UK/CHA/53O05/2017/62,Uttarakhand,Chamoli,,Forest,29.943367,79.329094,Rock cum debris,Slide,2012
32321,UK/CHA/53O05/2017/63,Uttarakhand,Chamoli,,Forest,29.943427,79.328566,Rock cum debris,Slide,2012
32332,UK/CHA/53O05/2017/64,Uttarakhand,Chamoli,,kunigad,29.945739,79.314079,Rock cum debris,Slide,2014
32336,UK/CHA/53O05/2017/9,Uttarakhand,Chamoli,,Ramganga Nadi,29.946969,79.414909,Debris,Slide,
32360,UK/CHA/53O05/2017/76,Uttarakhand,Chamoli,,Kalyan talla,29.953439,79.29897,Rock cum debris,Slide,2017
32433,UK/CHA/53O01/2017/129,Uttarakhand,Chamoli,,NH121,29.968277,79.248718,Rock,Slide,2014
32473,UK/CHA/53O05/2017/68,Uttarakhand,Chamoli,,Downslope of Gaguna,29.977037,79.412888,Rock cum debris,Slide,2012
32475,UK/CHA/53O05/2017/17,Uttarakhand,Chamoli,,Banjani,29.977449,79.265359,Rock,Slide,2014
32505,UK/CHA/53O05/2017/10,Uttarakhand,Chamoli,,NailKusarkhet road,29.982199,79.445041,Debris,Slide,2006
32531,UK/CHA/53O05/2017/72,Uttarakhand,Chamoli,,Khaliyan,29.986058,79.405289,Rock,Slide,2012
32611,UK/CHA/53O05/2017/11,Uttarakhand,Chamoli,,NailKusarkhet road,29.994459,79.461084,Rock,Slide,2014
32616,UK/CHA/53O05/2017/12,Uttarakhand,Chamoli,,NailKusarkhet road,29.9961,79.453562,Debris,Slide,2014
32726,UK/CHA/53N08/2018/68,Uttarakhand,Chamoli,Nauli,Pharsain-Simana,30.014433,79.308226,Rock,Slide,2017
32742,UK/CHA/53N08/2013/0038,Uttarakhand,Chamoli,UK_CHA_NH_ 038,Agarchatti on Gairsain –Almora road NH-87E,30.016,79.309722,Debris,Slide,16th-17th June 2013
